operation_key,method,path,category,service,source,sensitive,status,owner,team,related_tables,locations
"GET /api/v2/runtimes",GET,/api/v2/runtimes,platform,site/code_runner_manager,fastapi,no,active,code_runner,platform,"","site/code_runner_manager.py:410;site/app_patched.py:141;site/code_runner/app.py:153"
"GET /index",GET,/index,platform,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:606"
"GET /panel",GET,/panel,platform,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:560"
"POST /api/v1/functions",POST,/api/v1/functions,platform,docs,openapi,no,active,docs,unassigned,"","docs/openapi.yaml:58;docs/openapi.generated.yaml:53"
"POST /api/v2/execute",POST,/api/v2/execute,platform,site/code_runner_manager,fastapi,no,active,code_runner,platform,"","site/code_runner_manager.py:289;site/app_patched.py:107;site/code_runner/app.py:104"
"GET /billing/pending",GET,/billing/pending,banking,specialized_agents/conube_agent,fastapi,no,active,conube,ops,"","specialized_agents/conube_agent.py:865"
"GET /cofrinho",GET,/cofrinho,banking,specialized_agents/banking,fastapi,no,active,banking,finance,"","specialized_agents/banking/routes.py:73"
"POST /billing/pay-pending",POST,/billing/pay-pending,banking,specialized_agents/conube_agent,fastapi,no,active,conube,ops,"","specialized_agents/conube_agent.py:877"
"GET /messages",GET,/messages,agents,specialized_agents/agent_communication_bus,fastapi,no,active,agent_bus,platform,"public.agent_ipc","specialized_agents/agent_communication_bus.py:357"
"GET /stats",GET,/stats,agents,specialized_agents/agent_communication_bus,fastapi,no,active,agent_bus,platform,"public.agent_ipc","specialized_agents/agent_communication_bus.py:364"
"GET /tool-interceptor/stats",GET,/tool-interceptor/stats,agents,tools/proxy_tool_interceptor,fastapi,no,active,tools,unassigned,"","tools/proxy_tool_interceptor.py:485"
"GET /tool-interceptor/tools",GET,/tool-interceptor/tools,agents,tools/proxy_tool_interceptor,fastapi,no,active,tools,unassigned,"","tools/proxy_tool_interceptor.py:489"
"POST /evoke",POST,/evoke,agents,tools/operation_agent,fastapi,no,active,operation_agent,platform,"public.agent_actions","tools/operation_agent/evoke_handler.py:28"
"POST /penalize_and_retrain",POST,/penalize_and_retrain,agents,tools/operation_agent,fastapi,no,active,operation_agent,platform,"","tools/operation_agent/evoke_handler.py:93"
"POST /publish",POST,/publish,agents,specialized_agents/agent_communication_bus,fastapi,no,active,agent_bus,platform,"public.agent_ipc","specialized_agents/agent_communication_bus.py:371;specialized_agents/wiki_agent.py:534"
"POST /send",POST,/send,agents,specialized_agents/agent_communication_bus,fastapi,no,active,agent_bus,platform,"public.agent_ipc","specialized_agents/agent_communication_bus.py:372;scripts/misc/whatsapp_api.py:33"
"POST /test",POST,/test,agents,specialized_agents/agent_communication_bus,fastapi,no,active,agent_bus,platform,"","specialized_agents/agent_communication_bus.py:389"
"POST /api/execute",POST,/api/execute,general,scripts/misc,flask,no,active,ssh_agent,infra,"","scripts/misc/ssh_agent.py:326"
"POST /print",POST,/print,general,deploy,flask,no,active,deploy,unassigned,"","deploy/printshare/app.py:49"
"POST /query",POST,/query,general,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:625"
"POST /recording/clear",POST,/recording/clear,general,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:812"
"POST /recording/pause",POST,/recording/pause,general,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:798"
"POST /recording/resume",POST,/recording/resume,general,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:805"
"POST /trading/converse",POST,/trading/converse,general,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:240"
"POST /users",POST,/users,general,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:575"
"POST /{agent_id}/activate",POST,/{agent_id}/activate,general,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:676"
"POST /apply/glpi",POST,/apply/glpi,cmdb,specialized_agents/cmdb_agent,fastapi,no,active,cmdb,infra,"","specialized_agents/cmdb_agent.py:1605"
"POST /apply/netbox",POST,/apply/netbox,cmdb,specialized_agents/cmdb_agent,fastapi,no,active,cmdb,infra,"","specialized_agents/cmdb_agent.py:1590"
"POST /run",POST,/run,cmdb,specialized_agents/cmdb_agent,fastapi,no,active,cmdb,infra,"","specialized_agents/cmdb_agent.py:1571"
"POST /dossier",POST,/dossier,acervo,specialized_agents/bn_acervo_agent,fastapi,no,active,bn_acervo,content,"","specialized_agents/bn_acervo_agent.py:4638"
"POST /jobs",POST,/jobs,acervo,specialized_agents/bn_acervo_agent,fastapi,no,active,bn_acervo,content,"","specialized_agents/bn_acervo_agent.py:4574"
"POST /story",POST,/story,acervo,specialized_agents/bn_acervo_agent,fastapi,no,active,bn_acervo,content,"","specialized_agents/bn_acervo_agent.py:4624"
"POST /evolve",POST,/evolve,wiki,specialized_agents/wiki_agent,fastapi,no,active,wiki,knowledge,"","specialized_agents/wiki_agent.py:545"
"POST /raw",POST,/raw,wiki,specialized_agents/wiki_agent,fastapi,no,active,wiki,knowledge,"","specialized_agents/wiki_agent.py:556"
"POST /refactor",POST,/refactor,wiki,specialized_agents/wiki_agent,fastapi,no,active,wiki,knowledge,"","specialized_agents/wiki_agent.py:566"
